Entity,Code,Year,Christians,Jews,Muslims,Hindus,Buddhists,Other,No religion
Brunei,BRN,2020,6.693442,0,82.15076,1.3356726,6.2967753,3.3671496,0.15620579
Bulgaria,BGR,2010,81.397606,0.049360912,9.98141,0.001411629,0.019819338,0.14314535,8.407244
Bulgaria,BGR,2020,79.49708,0.04598915,10.258736,0.002907086,0.02646611,0.136665,10.032158
Burkina Faso,BFA,2010,26.581064,0,64.34295,0.000744563,0.001551172,8.449393,0.6243
Burkina Faso,BFA,2020,28.004366,0,67.4097,0.000604015,0.001254494,4.008278,0.5757991
Burundi,BDI,2010,95.405525,0.00021914,2.0740278,0.007044393,0.00010957,0.6539676,1.8591024
Burundi,BDI,2020,94.98028,0.000163663,2.9935937,0.007467602,0.000163663,0.76537955,1.252955
Cambodia,KHM,2010,0.37198132,0,1.904455,0.00090507,96.92893,0.70043284,0.09329182
Cambodia,KHM,2020,0.31641948,0,2.042904,0.000792835,97.09086,0.4699868,0.07903952
Cameroon,CMR,2010,71.66582,0.006340458,21.32802,0.006340458,0.001808902,3.9161282,3.075546
Cameroon,CMR,2020,69.83394,0.00637948,25.15727,0.007430334,0.00181991,2.9132965,2.0798645
Canada,CAN,2010,67.24938,1.0001762,3.2494714,1.5851321,1.1058371,1.9552203,23.854778
Canada,CAN,2020,53.321125,0.9230463,4.887863,1.5247571,1.737348,2.9764302,34.62943
Cape Verde,CPV,2010,85.70175,0.012854642,0.2841238,0.001534883,0.00575581,0.40238708,13.591593
Cape Verde,CPV,2020,78.29805,0.012357545,0.3126648,0.001373061,0.005148977,0.75420195,20.616205
Central African Republic,CAF,2010,89.76293,0.003433427,8.395126,0.001072946,0.002145892,0.8370599,0.9982286
Central African Republic,CAF,2020,90.67516,0.003181721,6.241038,0.002433081,0.001871601,2.6238563,0.4524538
Chad,TCD,2010,39.548363,0,57.278458,0.011265496,0.011265496,0.46113503,2.689516
Chad,TCD,2020,38.894054,0,56.35778,0.009997175,0.010874331,1.592638,3.1346579
Channel Islands,OWID_CIS,2010,85.370674,0.06485395,0.07824678,0.080060706,0.003458555,0.34281412,14.05989
Channel Islands,OWID_CIS,2020,85.2033,0.06650472,0.07969046,0.08157503,0.003512441,0.34925935,14.216157
Chile,CHL,2010,86.02832,0.1632096,0.007351141,0.004410685,0.016725965,0.19836403,13.58162
Chile,CHL,2020,68.32602,0.08157169,0.06699373,0.005335507,0.038323306,1.2156916,30.266064
China,CHN,2010,2.3081434,0.000228953,1.5336534,0.001662713,5.630385,3.1039207,87.422005
China,CHN,2020,1.7847568,0.000213027,1.8218015,0.00204179,3.7429757,3.0250807,89.62313
Colombia,COL,2010,92.42011,0.005801485,0.00301231,0.00091485,0.003614772,0.3223874,7.244158
Colombia,COL,2020,86.24696,0.004137866,0.003926908,0.001024615,0.009221531,3.7911248,9.943603
Comoros,COM,2010,0.30425164,0,99.53785,0.000762167,0,0.02710774,0.13002573
Comoros,COM,2020,0.51,0,98.3,0.00062022,0,1.0593798,0.13
Congo,COG,2010,91.80778,0.002027994,1.4851103,0.003154657,0.003943321,1.0657442,5.632242
Congo,COG,2020,92.22654,0.001929089,1.4647045,0.003507434,0.003945863,1.1001837,5.1991887
Costa Rica,CRI,2010,91.23591,0.054086197,0.017740272,0.008870136,0.044134337,1.0947138,7.5445504
Costa Rica,CRI,2020,87.85918,0.05075047,0.025180042,0.009369318,0.048993725,1.9079375,10.098596
Cote d'Ivoire,CIV,2010,40.799046,0,43.722313,0,0,5.470328,10.008315
Cote d'Ivoire,CIV,2020,44.914967,0,46.320717,0,0,3.1999605,5.564355
Croatia,HRV,2010,93.65238,0.012186487,1.5408552,0.011464562,0.02223521,0.08870793,4.6721716
Croatia,HRV,2020,90.85783,0.015337282,1.3726027,0.011706879,0.022288118,1.0624112,6.657828
Cuba,CUB,2010,58.79412,0.009999,0.079992004,0.209979,0.049995,17.318268,23.537645
Cuba,CUB,2020,60.653934,0.009999,0.079992004,0.209979,0.049995,17.388262,21.60784
Curacao,CUW,2010,90.65574,0.19380616,0.4922588,1.9998115,0.31371662,0.46207175,5.882593
Curacao,CUW,2020,90.61947,0.19414404,0.4968051,1.9868361,0.34867412,0.4278467,5.926228
Cyprus,CYP,2010,65.53677,0.041759547,26.575148,0.28326467,0.63734555,0.44250372,6.4832015
Cyprus,CYP,2020,67.74878,0.043770704,24.358803,0.2666587,0.5575591,0.4543397,6.5700893
Czechia,CZE,2010,30.028788,0.025552208,0.18958887,0.02276182,0.105826624,1.0898038,68.53768
Czechia,CZE,2020,26.412758,0.025813967,0.32713088,0.016849395,0.068411015,0.3356101,72.81342
Democratic Republic of Congo,COD,2010,96.49722,0.000150622,1.2053837,0.001577757,0.000213107,0.8736265,1.4218279
Democratic Republic of Congo,COD,2020,96.26151,0.000107697,1.2705512,0.001197573,0.000153266,1.2909249,1.1755552
Denmark,DNK,2010,80.16723,0.14867795,3.1946962,0.30498925,0.49856788,1.188699,14.497138
Denmark,DNK,2020,76.906235,0.1061272,4.219105,0.43512356,0.6564796,1.0460204,16.630907
Djibouti,DJI,2010,1.3455226,0,97.41295,0.040002666,0,0.08657286,1.1149532
Djibouti,DJI,2020,1.100099,0,97.67207,0.039979678,0,0.086538285,1.1013136
Dominican Republic,DOM,2010,84.92118,0.001022939,0.019640427,0.007569748,0.034063864,0.07478321,14.941741
Dominican Republic,DOM,2020,77.63658,0.000909119,0.024818942,0.006363831,0.042546757,2.6876893,19.60109
East Timor,TLS,2010,99.41512,0,0.19080257,0.15767682,0.036748275,0.023256425,0.17639172
East Timor,TLS,2020,99.535324,0,0.2566719,0.012914566,0.03031283,0.10092044,0.063858345
Ecuador,ECU,2010,95.56451,0.004002779,0.014276579,0.008672688,0.017078524,0.12203257,4.269434
Ecuador,ECU,2020,88.52362,0.003411301,0.018136753,0.007959703,0.022002894,3.033472,8.3913965
Egypt,EGY,2010,5.0845184,0.000396393,94.90719,0.0000628542,0.0000209523,0.003230284,0.0045844
Egypt,EGY,2020,4.821416,0.000214229,95.17257,0.000170961,0.0000540333,0.000923006,0.004652523
El Salvador,SLV,2010,88.342804,0.001635581,0.003271163,0.001799139,0.006542325,0.019954091,11.623993
El Salvador,SLV,2020,87.10838,0.001589135,0.003496097,0.001906962,0.006674367,0.99595374,11.881999
Equatorial Guinea,GNQ,2010,88.68036,0.003654555,4.048072,0.04992788,0.002740916,2.2279441,4.987301
Equatorial Guinea,GNQ,2020,88.68037,0.06265474,4.048059,0.049927894,0.04323177,2.1284556,4.9873013
Eritrea,ERI,2010,47.070545,0.00031769,51.279327,0.02663576,0.000953069,0.5833676,1.0388511
Eritrea,ERI,2020,46.671173,0.000281225,51.669582,0.030002011,0.000843676,0.56696767,1.061152
Estonia,EST,2010,61.18571,0.20576243,0.49873573,0.05880431,0.12559561,6.418391,31.507
Estonia,EST,2020,52.61386,0.13539495,0.598115,0.062808216,0.1961462,2.7907958,43.60288
Eswatini,SWZ,2010,93.131485,0.01818314,0.3363881,0.13637355,0.023638083,2.3661804,3.9877503
Eswatini,SWZ,2020,93.22843,0.0169558,0.13570014,0.1271685,0.022890331,0.3128794,6.1559772
Ethiopia,ETH,2010,62.553898,0.00626561,34.793762,0.002468538,0.00117228,2.5796776,0.0627573
Ethiopia,ETH,2020,61.578274,0.004776543,36.240177,0.002422591,0.001163285,2.110861,0.0623283
Europe,OWID_EUR,2010,74.50165,0.18764426,5.2973714,0.22388355,0.27304074,0.67501307,18.770874
Europe,OWID_EUR,2020,66.92897,0.16993849,6.049981,0.28707832,0.3391389,0.8009958,25.351065
Europe (Pew),PEW_EUR,2010,74.64392,0.18723944,5.2958255,0.2228033,0.2712456,0.6735202,18.705446
Europe (Pew),PEW_EUR,2020,67.08729,0.16962473,6.043627,0.28589082,0.33728257,0.7996023,25.276688
Fiji,FJI,2010,65.53062,0.018781014,6.2684875,27.111206,0.061866865,0.7539714,0.25507116
Fiji,FJI,2020,69.51997,0.020642705,5.7803707,24.10296,0.06410103,0.26062152,0.2513335
Finland,FIN,2010,81.82422,0.05153611,0.8185881,0.06293019,0.16879702,0.5034217,16.570513
Finland,FIN,2020,72.28497,0.062084887,1.6101944,0.14736658,0.31453785,0.5336256,25.047218
France,FRA,2010,57.096737,0.7718846,6.625972,0.09608522,0.51791173,0.40919504,34.482212
France,FRA,2020,46.467613,0.69168675,9.097817,0.12776679,0.7130014,0.25636187,42.645752
French Guiana,GUF,2010,84.53321,0.045013648,0.8966163,1.563838,0.5996844,9.030734,3.3309026
French Guiana,GUF,2020,84.19791,0.040511314,0.9173636,1.6000295,0.6014376,9.235111,3.4076376
French Polynesia,PYF,2010,93.53176,0.057008278,0.3699945,0.070475146,0.09232972,0.9563468,4.922086
French Polynesia,PYF,2020,93.4461,0.053901322,0.32458982,0.06293068,0.09361809,0.9833445,5.035518
Gabon,GAB,2010,86.036095,0,5.4487634,0,0,0.72084016,7.7943
Gabon,GAB,2020,83.74292,0,8.637679,0,0,1.8573626,5.76204
Gambia,GMB,2010,3.4565876,0,96.23338,0.07267941,0,0.20647559,0.030874807
Gambia,GMB,2020,2.8933675,0,97.00271,0.066045195,0,0.019944005,0.017932352
Georgia,GEO,2010,88.57878,0.048188806,10.666319,0.011311418,0.011128976,0.24665494,0.4376175
Georgia,GEO,2020,88.17262,0.04450916,10.46078,0.012154249,0.011647883,0.3099779,0.98830867
Germany,DEU,2010,62.2303,0.1463263,5.1418014,0.12623432,0.32204387,0.21734415,31.815948
Germany,DEU,2020,56.23488,0.14160739,6.5487413,0.15651976,0.34375194,0.42680067,36.147697
Ghana,GHA,2010,71.08795,0,17.667557,0,0,5.9742494,5.270244
Ghana,GHA,2020,71.2879,0,19.870607,0,0,7.773138,1.0683498
Greece,GRC,2010,91.24494,0.040783837,4.503006,0.072504595,0.018624619,0.44404233,3.6760952
Greece,GRC,2020,89.476364,0.039002184,5.120217,0.08561455,0.024676016,0.51175165,4.742371
Grenada,GRD,2010,87.474434,0,0.39466482,0.20165356,0,6.156195,5.773053
Grenada,GRD,2020,87.474434,0,0.39466482,0.20165356,0,6.156195,5.773053
Guadeloupe,GLP,2010,95.815315,0.35973766,0.3746238,0.50627196,0.21336165,0.22319517,2.5074975
